,Date,Open,High,Low,Close,Volume,Name,Pct Returns
258,11/8/2022,139,140.93,138.72,140.04,5042756,IBM,1.92881578
259,11/7/2022,136.64,138.7,136.51,138.34,4043062,IBM,-1.213938875
260,11/4/2022,135.65,137.73,134.94,136.96,4177972,IBM,-0.997542287
261,11/3/2022,136.42,136.48,133.97,134.47,4442443,IBM,-1.818049065
262,11/2/2022,137.75,140.17,136.8,136.83,5365264,IBM,1.755038299
263,11/1/2022,138.25,138.65,136.7,138.2,3590607,IBM,1.001242418
264,10/31/2022,138.06,138.7699,136.595,138.29,4915270,IBM,0.06512301
265,10/28/2022,135.56,138.8615,135.22,138.51,5965457,IBM,0.159085979
266,10/27/2022,135.55,136.4,134.445,134.77,3993168,IBM,-2.700166053
267,10/26/2022,133.72,135.863,132.81,135.01,5140023,IBM,0.178081175
268,10/25/2022,132,133.3,131.3,132.93,5957623,IBM,-1.54062662
269,10/24/2022,130.9,133.11,129.85,132.69,5610914,IBM,-0.180546152
270,10/21/2022,128.39,130.845,127.59,129.9,7201256,IBM,-2.102645263
271,10/20/2022,126.25,128.96,125.15,128.3,13623115,IBM,-1.231716705
272,10/19/2022,122.36,123.94,121.9875,122.51,5906576,IBM,-4.512860483
273,10/18/2022,123,123.94,121.82,122.94,5120336,IBM,0.350991756
274,10/17/2022,121.8,122.875,121.43,121.52,5458585,IBM,-1.155034976
275,10/14/2022,121.8,122.54,119.84,120.04,3763840,IBM,-1.217906517
276,10/13/2022,116.1,122.15,115.545,121.79,5837645,IBM,1.457847384
277,10/12/2022,118,118.81,117.2,117.57,3338754,IBM,-3.464980704
278,10/11/2022,117.46,119.23,116.94,117.8,4043265,IBM,0.195628136
279,10/10/2022,119.79,119.96,117.04,117.75,5990008,IBM,-0.042444822
280,10/7/2022,121.5,121.8016,118.07,118.82,4499672,IBM,0.908704883
281,10/6/2022,124.88,125.3,121.77,122.23,5074624,IBM,2.869887224
282,10/5/2022,124.71,126.46,124.23,125.74,3212872,IBM,2.871635441
283,10/4/2022,122.8,125.65,122.52,125.5,4566055,IBM,-0.190870049
284,10/3/2022,120.16,122.21,119.6,121.51,4261729,IBM,-3.179282869
285,9/30/2022,121.66,122.43,118.61,118.81,5346108,IBM,-2.222039338
286,9/29/2022,121.85,122.62,120.57,121.63,3817723,IBM,2.373537581
287,9/28/2022,121.65,123.23,119.81,122.76,4996378,IBM,0.92904711
288,9/27/2022,122.6,123.95,121.08,121.74,4117215,IBM,-0.830889541
289,9/26/2022,122.3,124.26,121.75,122.01,3987817,IBM,0.22178413
290,9/23/2022,124.53,125,121.74,122.71,5195693,IBM,0.573723465
291,9/22/2022,124.76,126.51,124.41,125.31,4038335,IBM,2.118816722
292,9/21/2022,126.89,127.84,124.92,124.93,3389545,IBM,-0.303247945
293,9/20/2022,126.9,126.99,125.52,126.3,2837485,IBM,1.096614104
294,9/19/2022,126.49,128.06,126.28,127.73,3981606,IBM,1.132224861
295,9/16/2022,124.36,127.53,123.83,127.27,9839696,IBM,-0.360134659
296,9/15/2022,127.39,127.465,124.9,125.49,5141671,IBM,-1.398601399
297,9/14/2022,127.5,129,126.845,127.69,3819067,IBM,1.753127739
298,9/13/2022,129.14,129.909,126.7709,127.25,4565585,IBM,-0.344584541
299,9/12/2022,130.33,130.99,129.89,130.66,3741168,IBM,2.679764244
300,9/9/2022,128.9,129.49,128.06,129.19,3293365,IBM,-1.125057401
301,9/8/2022,127.2,128.54,126.59,128.47,2964613,IBM,-0.557318678
302,9/7/2022,126.69,127.8667,126.28,127.71,2401513,IBM,-0.5915778
303,9/6/2022,127.8,128.06,126.3,126.72,3345343,IBM,-0.775193798
304,9/2/2022,130.3,130.56,127.24,127.79,3040813,IBM,0.844381313
305,9/1/2022,128.4,129.8173,127.74,129.66,3396219,IBM,1.463338289
306,8/31/2022,129.92,130,128.4,128.45,3490380,IBM,-0.933209934
307,8/30/2022,130.56,130.77,129.29,129.58,2407888,IBM,0.879719735
308,8/29/2022,129.99,131.42,129.57,130.31,2751308,IBM,0.563358543
309,8/26/2022,134.1,134.18,130.34,130.38,4185254,IBM,0.053718057
310,8/25/2022,133.65,134.425,133.07,133.98,2706005,IBM,2.761159687
311,8/24/2022,134.89,135.11,133.11,133.23,2855421,IBM,-0.559785043
312,8/23/2022,135.37,136.1,134.72,134.74,4141798,IBM,1.133378368
313,8/22/2022,137.65,137.85,135.47,135.55,3093629,IBM,0.601157785
314,8/19/2022,138.75,139.34,137.66,138.37,3155842,IBM,2.080413132
315,8/18/2022,137.79,139.12,137.75,139.07,3177726,IBM,0.505890005
316,8/17/2022,136.46,138.415,136.3,137.79,3667568,IBM,-0.920399799
317,8/16/2022,134.6,137.37,134.4517,136.56,4313600,IBM,-0.892662748
318,8/15/2022,132.96,135.19,132.24,134.93,2791241,IBM,-1.193614528
319,8/12/2022,132.62,134.09,131.98,134.01,2767054,IBM,-0.681835026
320,8/11/2022,132.36,133.225,132,132.54,3501925,IBM,-1.096933065
321,8/10/2022,130.75,131.78,130.34,131.5,3663995,IBM,-0.784668779
322,8/9/2022,129.92,130.79,129.12,129.47,3495991,IBM,-1.543726236
323,8/8/2022,133.1,133.35,132.02,132.61,3825145,IBM,2.425272264
324,8/5/2022,131.25,132.67,131.07,132.48,2586519,IBM,-0.098031823
325,8/4/2022,132.15,132.2866,131.02,131.64,3179789,IBM,-0.634057971
326,8/3/2022,131.82,132.862,131.32,132.34,3088532,IBM,0.531753266
327,8/2/2022,132.2,132.78,130.51,131.81,4403633,IBM,-0.400483603
328,8/1/2022,130.75,132.7,130.7,132.04,4142099,IBM,0.174493589
329,7/29/2022,129.52,131,129.31,130.79,5786815,IBM,-0.946682823
330,7/28/2022,128.75,129.81,128.606,129.22,3913680,IBM,-1.200397584
331,7/27/2022,127.97,129.43,127.58,129.12,4175625,IBM,-0.077387401
332,7/26/2022,128.26,129.3,127.63,128.08,3645313,IBM,-0.805452292
333,7/25/2022,128.44,129.1257,127.9,128.54,4702352,IBM,0.359150531
334,7/22/2022,127.03,128.32,125.71,128.25,6467205,IBM,-0.225610705
335,7/21/2022,128.75,128.81,125.13,127.15,11975361,IBM,-0.857699805
336,7/20/2022,130.7,130.72,128.06,129.18,9882016,IBM,1.59653952
337,7/19/2022,131.58,132.56,127.72,130.88,29690535,IBM,1.315993188
338,7/18/2022,140.15,140.31,137.7844,138.13,8231694,IBM,5.539425428
339,7/15/2022,140.68,140.68,138.61,139.92,4519320,IBM,1.295880692
340,7/14/2022,135.6,139.43,135.02,139.06,5298351,IBM,-0.614636935
341,7/13/2022,137.18,138.9,136.8,137.18,4123213,IBM,-1.351934417
342,7/12/2022,140.84,141.55,138.565,139.18,3235571,IBM,1.457938475
343,7/11/2022,140.62,141.87,140.13,141,3912773,IBM,1.307659146
344,7/8/2022,140.76,141.3203,139.82,140.47,2820928,IBM,-0.375886525
345,7/7/2022,138.91,141.325,138.83,140.83,3897077,IBM,0.25628248
346,7/6/2022,138,139.14,137.13,138.08,3237059,IBM,-1.95270894
347,7/5/2022,139.97,139.97,135.27,137.62,6274067,IBM,-0.333140209
348,7/1/2022,141,141.67,139.26,141.12,4012106,IBM,2.543234995
349,6/30/2022,139.58,142.46,139.28,141.19,4878020,IBM,0.049603175
